id,code,name,type,user_type:id,parent_id:id,reconcile,chart_template_id:id
cur_liabilities,210,Current Liabilities,view,l10n_seg.user_type_view,liabilities,FALSE,l10n_seg.singapore_account_chart_template
acc_payable,2101,Accounts Payable,view,l10n_seg.user_type_view,cur_liabilities,TRUE,l10n_seg.singapore_account_chart_template
210101,210101,Trade Creditors,payable,l10n_seg.user_type_liability,acc_payable,FALSE,l10n_seg.singapore_account_chart_template
210102,210102,Other Creditors,payable,l10n_seg.user_type_liability,acc_payable,FALSE,l10n_seg.singapore_account_chart_template
accured_liabilities,2103,Accrued Liabilities,view,l10n_seg.user_type_view,cur_liabilities,FALSE,l10n_seg.singapore_account_chart_template
210301,210301,Accrued Rent,other,l10n_seg.user_type_liability,accured_liabilities,FALSE,l10n_seg.singapore_account_chart_template
210302,210302,Accrued Salaries,other,l10n_seg.user_type_liability,accured_liabilities,FALSE,l10n_seg.singapore_account_chart_template
210303,210303,Accrued Contributions,other,l10n_seg.user_type_liability,accured_liabilities,FALSE,l10n_seg.singapore_account_chart_template
210304,210304,Accrued Bonus,other,l10n_seg.user_type_liability,accured_liabilities,FALSE,l10n_seg.singapore_account_chart_template
210305,210305,Accrued Expenses,other,l10n_seg.user_type_liability,accured_liabilities,FALSE,l10n_seg.singapore_account_chart_template
tax_pay_receive,2104,Tax Payable/Receivable,view,l10n_seg.user_type_view,cur_liabilities,FALSE,l10n_seg.singapore_account_chart_template
210401,210401,Sales Tax Collected,receivable,l10n_seg.user_type_liability,tax_pay_receive,FALSE,l10n_seg.singapore_account_chart_template
210402,210402,Purchases Tax Paid,receivable,l10n_seg.user_type_liability,tax_pay_receive,FALSE,l10n_seg.singapore_account_chart_template
210403,210403,Tax Adjustments,receivable,l10n_seg.user_type_liability,tax_pay_receive,FALSE,l10n_seg.singapore_account_chart_template
income_tax_pay,2105,Income Tax Payable,view,l10n_seg.user_type_view,cur_liabilities,FALSE,l10n_seg.singapore_account_chart_template
210501,210501,Income Tax Payable,payable,l10n_seg.user_type_liability,income_tax_pay,FALSE,l10n_seg.singapore_account_chart_template
long_term_liabilities,220,Long Term Liabilities,view,l10n_seg.user_type_view,income_tax_pay,FALSE,l10n_seg.singapore_account_chart_template
ltl_liabilities,2201,Long Term Liabilities,view,l10n_seg.user_type_view,long_term_liabilities,FALSE,l10n_seg.singapore_account_chart_template
220101,220101,Long Term Loan,other,l10n_seg.user_type_liability,ltl_liabilities,FALSE,l10n_seg.singapore_account_chart_template
other_liabilities,2202,Other Liabilities,view,l10n_seg.user_type_view,long_term_liabilities,FALSE,l10n_seg.singapore_account_chart_template
220201,220201,Deferred Taxation,other,l10n_seg.user_type_liability,other_liabilities,FALSE,l10n_seg.singapore_account_chart_template
equity,31,Shareholders Equity,view,l10n_seg.user_type_view,seg_bs,FALSE,l10n_seg.singapore_account_chart_template
investment,310,Capital Investment,view,l10n_seg.user_type_view,equity,FALSE,l10n_seg.singapore_account_chart_template
capital_investment,3101,Capital Investment,view,l10n_seg.user_type_view,investment,FALSE,l10n_seg.singapore_account_chart_template
310101,310101,Capital Investment,other,l10n_seg.user_type_liability,capital_investment,FALSE,l10n_seg.singapore_account_chart_template
earning,320,Retained Earnings,view,l10n_seg.user_type_view,equity,FALSE,l10n_seg.singapore_account_chart_template
retain_earning,3201,Retained Earnings,view,l10n_seg.user_type_view,earning,FALSE,l10n_seg.singapore_account_chart_template
320101,320101,Retained Earnings,other,l10n_seg.user_type_liability,retain_earning,FALSE,l10n_seg.singapore_account_chart_template
cur_earning,330,Current Earnings,view,l10n_seg.user_type_view,equity,FALSE,l10n_seg.singapore_account_chart_template
sub_cur_earning,3301,Current Earnings,view,l10n_seg.user_type_view,cur_earning,FALSE,l10n_seg.singapore_account_chart_template
330101,330101,Current Earnings,other,l10n_seg.user_type_liability,sub_cur_earning,FALSE,l10n_seg.singapore_account_chart_template
profit_loss,4,Profit and Loss,view,l10n_seg.user_type_view,seg_company,FALSE,l10n_seg.singapore_account_chart_template
revenues,41,Revenues,view,l10n_seg.user_type_view,profit_loss,FALSE,l10n_seg.singapore_account_chart_template
sales,410,Sales  ,view,l10n_seg.user_type_view,revenues,FALSE,l10n_seg.singapore_account_chart_template
sub_sale,4100,Sales  ,view,l10n_seg.user_type_view,sales,FALSE,l10n_seg.singapore_account_chart_template
410101,410101,Local sales,other,l10n_seg.user_type_income,sub_sale,FALSE,l10n_seg.singapore_account_chart_template
410102,410102,Export sales,other,l10n_seg.user_type_income,sub_sale,FALSE,l10n_seg.singapore_account_chart_template
other_income,430,Other Income,view,l10n_seg.user_type_view,revenues,FALSE,l10n_seg.singapore_account_chart_template
sub_other_income,4301,Other Income,view,l10n_seg.user_type_view,other_income,FALSE,l10n_seg.singapore_account_chart_template
430101,430101,Other Income,other,l10n_seg.user_type_income,sub_other_income,FALSE,l10n_seg.singapore_account_chart_template
430102,430102,Gain on Disposal,other,l10n_seg.user_type_income,sub_other_income,FALSE,l10n_seg.singapore_account_chart_template
financial_income,440,Financial Income,view,l10n_seg.user_type_view,revenues,FALSE,l10n_seg.singapore_account_chart_template
sub_financial_income,4401,Financial Income,view,l10n_seg.user_type_view,financial_income,FALSE,l10n_seg.singapore_account_chart_template
440101,440101,Realised Exchange Gain,other,l10n_seg.user_type_income,sub_financial_income,FALSE,l10n_seg.singapore_account_chart_template
440102,440102,Unrealised Exchange Gain,other,l10n_seg.user_type_income,sub_financial_income,FALSE,l10n_seg.singapore_account_chart_template
440103,440103,Bank Interest Income,other,l10n_seg.user_type_income,sub_financial_income,FALSE,l10n_seg.singapore_account_chart_template
total_expenses,51,Total Expenses,view,l10n_seg.user_type_view,profit_loss,FALSE,l10n_seg.singapore_account_chart_template
cost_of_sale,510,Cost of Sales,view,l10n_seg.user_type_view,total_expenses,FALSE,l10n_seg.singapore_account_chart_template
